[6.727s][info][gc,heap     ] GC(17) Survivor regions: 11->11(11)
[6.727s][info][gc,heap     ] GC(17) Old regions: 165->181
[6.727s][info][gc,heap     ] GC(17) Humongous regions: 0->0
[6.727s][info][gc,metaspace] GC(17) Metaspace: 7751K(8064K)->7751K(8064K) NonClass: 6939K(7104K)->6939K(7104K) Class: 812K(960K)->812K(960K)
[6.727s][info][gc          ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 2022M->1528M(9216M) 26.541ms
[6.727s][info][gc,cpu      ] GC(17) User=0.02s Sys=0.08s Real=0.03s
[7.001s][info][gc,start    ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[7.001s][info][gc,task     ] GC(18) Using 13 workers of 13 for evacuation
[7.032s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.2ms
[7.032s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.1ms
[7.032s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 29.6ms
[7.032s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 0.9ms
[7.032s][info][gc,phases   ] GC(18)   Other: 0.1ms
[7.032s][info][gc,heap     ] GC(18) Eden regions: 91->0(110)
[7.032s][info][gc,heap     ] GC(18) Survivor regions: 11->13(13)
[7.032s][info][gc,heap     ] GC(18) Old regions: 181->197
[7.032s][info][gc,heap     ] GC(18) Humongous regions: 0->0
[7.032s][info][gc,metaspace] GC(18) Metaspace: 7751K(8064K)->7751K(8064K) NonClass: 6939K(7104K)->6939K(7104K) Class: 812K(960K)->812K(960K)
[7.032s][info][gc          ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 2256M->1675M(9216M) 30.969ms
[7.032s][info][gc,cpu      ] GC(18) User=0.05s Sys=0.19s Real=0.03s
[7.710s][info][gc,start    ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[7.710s][info][gc,task     ] GC(19) Using 13 workers of 13 for evacuation
[7.748s][info][gc,phases   ] GC(19)   Pre Evacuate Collection Set: 0.1ms
[7.748s][info][gc,phases   ] GC(19)   Merge Heap Roots: 0.0ms
[7.748s][info][gc,phases   ] GC(19)   Evacuate Collection Set: 36.8ms
[7.748s][info][gc,phases   ] GC(19)   Post Evacuate Collection Set: 0.4ms
[7.748s][info][gc,phases   ] GC(19)   Other: 0.1ms
[7.748s][info][gc,heap     ] GC(19) Eden regions: 110->0(112)
[7.748s][info][gc,heap     ] GC(19) Survivor regions: 13->16(16)
[7.748s][info][gc,heap     ] GC(19) Old regions: 197->214
[7.748s][info][gc,heap     ] GC(19) Humongous regions: 0->0
[7.748s][info][gc,metaspace] GC(19) Metaspace: 9963K(10304K)->9963K(10304K) NonClass: 8937K(9152K)->8937K(9152K) Class: 1025K(1152K)->1025K(1152K)
[7.748s][info][gc          ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 2555M->1837M(9216M) 37.689ms
[7.748s][info][gc,cpu      ] GC(19) User=0.11s Sys=0.39s Real=0.04s
[8.114s][info][gc,start    ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[8.114s][info][gc,task     ] GC(20) Using 13 workers of 13 for evacuation
[8.148s][info][gc,phases   ] GC(20)   Pre Evacuate Collection Set: 0.2ms
[8.148s][info][gc,phases   ] GC(20)   Merge Heap Roots: 0.1ms
[8.148s][info][gc,phases   ] GC(20)   Evacuate Collection Set: 32.7ms
[8.148s][info][gc,phases   ] GC(20)   Post Evacuate Collection Set: 0.6ms
[8.148s][info][gc,phases   ] GC(20)   Other: 0.1ms
[8.148s][info][gc,heap     ] GC(20) Eden regions: 112->0(130)
[8.148s][info][gc,heap     ] GC(20) Survivor regions: 16->16(16)
[8.148s][info][gc,heap     ] GC(20) Old regions: 214->236
[8.148s][info][gc,heap     ] GC(20) Humongous regions: 0->0
[8.148s][info][gc,metaspace] GC(20) Metaspace: 9963K(10304K)->9963K(10304K) NonClass: 8937K(9152K)->8937K(9152K) Class: 1025K(1152K)->1025K(1152K)
[8.148s][info][gc          ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 2733M->2009M(9216M) 33.797ms
[8.148s][info][gc,cpu      ] GC(20) User=0.08s Sys=0.12s Real=0.03s
[8.555s][info][gc,start    ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[8.555s][info][gc,task     ] GC(21) Using 13 workers of 13 for evacuation
[8.594s][info][gc,phases   ] GC(21)   Pre Evacuate Collection Set: 0.2ms
[8.594s][info][gc,phases   ] GC(21)   Merge Heap Roots: 0.1ms
[8.594s][info][gc,phases   ] GC(21)   Evacuate Collection Set: 37.7ms
[8.594s][info][gc,phases   ] GC(21)   Post Evacuate Collection Set: 0.7ms
[8.594s][info][gc,phases   ] GC(21)   Other: 0.1ms
[8.594s][info][gc,heap     ] GC(21) Eden regions: 130->0(146)
[8.594s][info][gc,heap     ] GC(21) Survivor regions: 16->19(19)
[8.594s][info][gc,heap     ] GC(21) Old regions: 236->259
[8.594s][info][gc,heap     ] GC(21) Humongous regions: 0->0
[8.594s][info][gc,metaspace] GC(21) Metaspace: 9996K(10368K)->9996K(10368K) NonClass: 8960K(9216K)->8960K(9216K) Class: 1036K(1152K)->1036K(1152K)
[8.594s][info][gc          ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 3049M->2216M(9216M) 39.048ms
[8.594s][info][gc,cpu      ] GC(21) User=0.08s Sys=0.19s Real=0.04s
[9.045s][info][gc,start    ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[9.045s][info][gc,task     ] GC(22) Using 13 workers of 13 for evacuation
